NOTICE: pid::3298 2016-12-02 14:56:12     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:123:7) UI Server已经启动：http://127.0.0.1:4000
NOTICE: pid::3298 2016-12-02 14:56:24     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480661784135179,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::3298 2016-12-02 14:56:24     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480661784180119,  type: 'pv',  method: 'GET',  url: '/quiz?returl=/quiz/portal&hash=',  userInfo: undefined }
NOTICE: pid::3298 2016-12-02 14:56:26     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480661786700831,  type: 'pv',  method: 'GET',  url: '/quiz/blank?code=0215HwiQ01Dlka28zihQ0wmviQ05Hwi2&state=',  userInfo: undefined }
NOTICE: pid::3298 2016-12-02 14:56:27     at Query._callback (/Users/wangxiaohua/wx/app/models/user.js:47:17) { logid: 1480661787249530,  action: 'newAndSave query',  user:    { openid: 'oQJKVju_KePhaBaLdj3QjUTXo0o0',     headimgurl: 'http://wx.qlogo.cn/mmopen/PiajxSqBRaEJcwjWZvM9L2iatVCYlaQtiawvQhdSeEicMZh9EyTbfkBaPuTvvmI2vdfGqFNQsqrdcYtVuH2icQqYtyQ/0',     unionid: 'oZxRys-VC2P-eoCRwxR7h4bwez9M',     nickname: '王晓桦',     c_time: '2016-12-02 14:56:27' },  sql: '\n        SELECT * FROM TB_USER tu WHERE tu.unionid = \'oZxRys-VC2P-eoCRwxR7h4bwez9M\'\n      ' }
NOTICE: pid::3298 2016-12-02 14:56:27     at Query._callback (/Users/wangxiaohua/wx/app/models/user.js:62:21) { logid: 1480661787257106,  action: 'newAndSave update',  user:    { openid: 'oQJKVju_KePhaBaLdj3QjUTXo0o0',     headimgurl: 'http://wx.qlogo.cn/mmopen/PiajxSqBRaEJcwjWZvM9L2iatVCYlaQtiawvQhdSeEicMZh9EyTbfkBaPuTvvmI2vdfGqFNQsqrdcYtVuH2icQqYtyQ/0',     unionid: 'oZxRys-VC2P-eoCRwxR7h4bwez9M',     nickname: '王晓桦',     c_time: '2016-12-02 14:56:27' },  sql: '\n        UPDATE TB_USER SET headimgurl = \'http://wx.qlogo.cn/mmopen/PiajxSqBRaEJcwjWZvM9L2iatVCYlaQtiawvQhdSeEicMZh9EyTbfkBaPuTvvmI2vdfGqFNQsqrdcYtVuH2icQqYtyQ/0\', nickname = \'王晓桦\' WHERE unionid = \'oZxRys-VC2P-eoCRwxR7h4bwez9M\'\n      ' }
NOTICE: pid::3298 2016-12-02 14:56:27     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480661787296507,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::3298 2016-12-02 14:56:33     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480661793953888,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::3308 2016-12-02 14:58:27     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:123:7) UI Server已经启动：http://127.0.0.1:4000
NOTICE: pid::3308 2016-12-02 14:58:27     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480661907395843,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::3308 2016-12-02 14:58:27     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480661907409341,  type: 'pv',  method: 'GET',  url: '/',  userInfo: undefined }
NOTICE: pid::3308 2016-12-02 14:58:27     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480661907833401,  type: 'pv',  method: 'GET',  url: '/img/404.png',  userInfo: undefined }
NOTICE: pid::3308 2016-12-02 14:58:30     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480661910693045,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 17:54:42     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:123:7) UI Server已经启动：http://127.0.0.1:4000
NOTICE: pid::6117 2016-12-02 17:54:45     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672485779357,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 17:54:48     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672488160377,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 17:59:52     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672792673039,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 17:59:56     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672796188426,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:01:48     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672908906930,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:01:52     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672912300461,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:02:23     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672943120016,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:02:26     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672946165575,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:02:27     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672947491527,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:02:29     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672949167764,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:02:30     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672950617328,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:02:32     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672952226679,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:02:33     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672953735930,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:02:35     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672955304880,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:02:36     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672956478399,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:02:38     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672958026651,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:02:39     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672959397836,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:02:41     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672961038438,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:02:42     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672962292587,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:02:43     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672963780382,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:02:45     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672965976065,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:02:47     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480672967479601,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:04:07     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480673047868264,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:04:09     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480673049910497,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:04:11     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480673051424700,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:04:12     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480673052945557,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:22:45     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674165299506,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:22:49     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674169018178,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:23:32     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674212435943,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:23:34     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674214422495,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:23:39     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674219686375,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:23:41     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674221177465,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:23:48     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674228271738,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:23:49     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674229930090,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:23:52     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674232589937,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:23:54     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674234258800,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:25:47     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674347363566,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:25:49     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674349060075,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:25:56     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674356418826,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:25:57     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674357802279,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:25:59     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674359208753,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:26:00     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674360773906,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:26:01     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674361854794,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:26:03     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674363450611,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:26:04     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674364531368,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:26:06     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674366012996,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:26:07     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674367162623,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:26:08     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674368912390,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:26:10     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674370607288,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:26:12     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674372108401,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:26:13     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674373294459,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:26:14     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674374782201,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:26:45     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674405987783,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:26:48     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674408039312,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:26:49     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674409433018,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:26:50     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480674410998753,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:39:47     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480675187283834,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6117 2016-12-02 18:39:49     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480675189945098,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6190 2016-12-02 18:52:20     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:123:7) UI Server已经启动：http://127.0.0.1:4000
NOTICE: pid::6195 2016-12-02 18:52:36     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:123:7) UI Server已经启动：http://127.0.0.1:4000
NOTICE: pid::6200 2016-12-02 18:52:39     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:123:7) UI Server已经启动：http://127.0.0.1:4000
NOTICE: pid::6200 2016-12-02 18:55:46     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480676146066452,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6200 2016-12-02 18:55:49     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480676149151923,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
NOTICE: pid::6200 2016-12-02 18:55:56     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480676156892994,  type: 'pv',  method: 'GET',  url: '/quiz/portal',  userInfo: undefined }
NOTICE: pid::6200 2016-12-02 18:55:58     at Object.<anonymous> (/Users/wangxiaohua/wx/app/bootSrtap.js:97:11) { logid: 1480676158602635,  type: 'pv',  method: 'GET',  url: '/quiz/v1/api/questions/oZxRys-VC2P-eoCRwxR7h4bwez9M',  userInfo: undefined }
